Date,Close
2016-05-05,32.34000015258789
2016-05-06,32.5099983215332
2016-05-09,32.61000061035156
2016-05-10,33.0
2016-05-11,32.56999969482422
2016-05-12,33.0
2016-05-13,32.29999923706055
2016-05-16,32.709999084472656
2016-05-17,32.18000030517578
2016-05-18,31.989999771118164
2016-05-19,31.459999084472656
2016-05-20,31.420000076293945
2016-05-23,31.899999618530273
2016-05-24,32.2599983215332
2016-05-25,32.93000030517578
2016-05-26,32.7400016784668
2016-05-27,33.189998626708984
2016-05-31,33.06999969482422
2016-06-01,32.689998626708984
2016-06-02,33.09000015258789
2016-06-03,32.93000030517578
2016-06-06,32.5
2016-06-07,33.04999923706055
2016-06-08,33.209999084472656
2016-06-09,33.11000061035156
2016-06-10,32.22999954223633
2016-06-13,32.13999938964844
2016-06-14,32.119998931884766
2016-06-15,32.439998626708984
2016-06-16,32.52000045776367
2016-06-17,32.58000183105469
2016-06-20,32.88999938964844
2016-06-21,32.77000045776367
2016-06-22,32.84000015258789
2016-06-23,33.61000061035156
2016-06-24,31.040000915527344
2016-06-27,29.520000457763672
2016-06-28,30.420000076293945
2016-06-29,31.350000381469727
2016-06-30,31.700000762939453
2016-07-01,32.119998931884766
2016-07-05,31.59000015258789
2016-07-06,31.760000228881836
2016-07-07,31.969999313354492
2016-07-08,33.09000015258789
2016-07-11,33.66999816894531
2016-07-12,33.38999938964844
2016-07-13,33.15999984741211
2016-07-14,33.400001525878906
2016-07-15,33.08000183105469
2016-07-18,32.66999816894531
2016-07-19,32.529998779296875
2016-07-20,32.88999938964844
2016-07-21,32.97999954223633
2016-07-22,33.34000015258789
2016-07-25,33.619998931884766
2016-07-26,33.84000015258789
2016-07-27,34.13999938964844
2016-07-28,33.619998931884766
2016-07-29,34.38999938964844
2016-08-01,34.47999954223633
2016-08-02,34.5
2016-08-03,34.86000061035156
2016-08-04,34.66999816894531
2016-08-05,35.189998626708984
2016-08-08,34.91999816894531
2016-08-09,34.709999084472656
2016-08-10,34.95000076293945
2016-08-11,34.689998626708984
2016-08-12,34.650001525878906
2016-08-15,35.349998474121094
2016-08-16,35.16999816894531
2016-08-17,35.400001525878906
2016-08-18,35.459999084472656
2016-08-19,35.66999816894531
2016-08-22,35.599998474121094
2016-08-23,35.790000915527344
2016-08-24,35.880001068115234
2016-08-25,35.86000061035156
2016-08-26,35.689998626708984
2016-08-29,35.97999954223633
2016-08-30,36.22999954223633
2016-08-31,36.09000015258789
2016-09-01,35.560001373291016
2016-09-02,35.790000915527344
2016-09-06,36.040000915527344
2016-09-07,36.220001220703125
2016-09-08,35.72999954223633
2016-09-09,34.90999984741211
2016-09-12,35.43000030517578
2016-09-13,35.18000030517578
2016-09-14,35.43000030517578
2016-09-15,35.689998626708984
2016-09-16,35.459999084472656
2016-09-19,35.619998931884766
2016-09-20,35.290000915527344
2016-09-21,35.400001525878906
2016-09-22,35.7400016784668
2016-09-23,35.68000030517578
2016-09-26,35.29999923706055
2016-09-27,35.40999984741211
2016-09-28,35.52000045776367
2016-09-29,35.2400016784668
2016-09-30,35.459999084472656
2016-10-03,35.209999084472656
2016-10-04,34.189998626708984
2016-10-05,33.619998931884766
2016-10-06,33.2400016784668
2016-10-07,33.20000076293945
2016-10-10,33.54999923706055
2016-10-11,33.11000061035156
2016-10-12,33.310001373291016
2016-10-13,32.959999084472656
2016-10-14,32.84000015258789
2016-10-17,33.029998779296875
2016-10-18,32.93000030517578
2016-10-19,32.939998626708984
2016-10-20,32.97999954223633
2016-10-21,32.869998931884766
2016-10-24,33.04999923706055
2016-10-25,32.970001220703125
2016-10-26,33.2599983215332
2016-10-27,31.81999969482422
2016-10-28,32.119998931884766
2016-10-31,32.279998779296875
2016-11-01,31.969999313354492
2016-11-02,31.799999237060547
2016-11-03,31.190000534057617
2016-11-04,31.389999389648438
2016-11-07,31.790000915527344
2016-11-08,31.940000534057617
2016-11-09,32.09000015258789
2016-11-10,31.8700008392334
2016-11-11,32.20000076293945
2016-11-14,32.52000045776367
2016-11-15,32.900001525878906
2016-11-16,33.040000915527344
2016-11-17,32.66999816894531
2016-11-18,32.25
2016-11-21,32.68000030517578
2016-11-22,33.220001220703125
2016-11-23,33.290000915527344
2016-11-25,33.439998626708984
2016-11-28,33.27000045776367
2016-11-29,33.0099983215332
2016-11-30,32.83000183105469
2016-12-01,32.59000015258789
2016-12-02,32.2400016784668
2016-12-05,32.66999816894531
2016-12-06,33.04999923706055
2016-12-07,33.599998474121094
2016-12-08,33.65999984741211
2016-12-09,34.290000915527344
2016-12-12,33.27000045776367
2016-12-13,33.36000061035156
2016-12-14,32.400001525878906
2016-12-15,32.56999969482422
2016-12-16,32.43000030517578
2016-12-19,31.989999771118164
2016-12-20,32.02000045776367
2016-12-21,32.369998931884766
2016-12-22,30.940000534057617
2016-12-23,30.93000030517578
2016-12-27,31.329999923706055
2016-12-28,30.8799991607666
2016-12-29,30.8799991607666
2016-12-30,30.649999618530273
2017-01-03,31.030000686645508
2017-01-04,31.239999771118164
2017-01-05,31.260000228881836
2017-01-06,31.670000076293945
2017-01-09,31.190000534057617
2017-01-10,31.260000228881836
2017-01-11,31.18000030517578
2017-01-12,31.639999389648438
2017-01-13,31.799999237060547
2017-01-17,31.600000381469727
2017-01-18,31.8700008392334
2017-01-19,31.479999542236328
2017-01-20,31.6200008392334
2017-01-23,31.65999984741211
2017-01-24,31.479999542236328
2017-01-25,31.610000610351562
2017-01-26,31.59000015258789
2017-01-27,31.469999313354492
2017-01-30,31.850000381469727
2017-01-31,31.90999984741211
2017-02-01,31.700000762939453
2017-02-02,31.739999771118164
2017-02-03,31.959999084472656
2017-02-06,31.479999542236328
2017-02-07,30.889999389648438
2017-02-08,30.639999389648438
2017-02-09,31.239999771118164
2017-02-10,31.200000762939453
2017-02-13,31.350000381469727
2017-02-14,31.65999984741211
2017-02-15,31.920000076293945
2017-02-16,31.979999542236328
2017-02-17,31.940000534057617
2017-02-21,32.83000183105469
2017-02-22,33.04999923706055
2017-02-23,31.579999923706055
2017-02-24,31.8799991607666
2017-02-27,31.59000015258789
2017-02-28,31.579999923706055
2017-03-01,32.2599983215332
2017-03-02,31.559999465942383
2017-03-03,31.709999084472656
2017-03-06,31.309999465942383
2017-03-07,30.889999389648438
2017-03-08,30.700000762939453
2017-03-09,30.440000534057617
2017-03-10,30.0
2017-03-13,30.229999542236328
2017-03-14,30.149999618530273
2017-03-15,30.18000030517578
2017-03-16,30.40999984741211
2017-03-17,30.309999465942383
2017-03-20,29.989999771118164
2017-03-21,29.649999618530273
2017-03-22,29.670000076293945
2017-03-23,29.540000915527344
2017-03-24,29.389999389648438
2017-03-27,29.389999389648438
2017-03-28,29.6200008392334
2017-03-29,29.649999618530273
2017-03-30,29.600000381469727
2017-03-31,29.270000457763672
2017-04-03,28.700000762939453
2017-04-04,28.350000381469727
2017-04-05,27.950000762939453
2017-04-06,28.110000610351562
2017-04-07,28.059999465942383
2017-04-10,28.309999465942383
2017-04-11,28.6200008392334
2017-04-12,28.139999389648438
2017-04-13,27.940000534057617
2017-04-17,28.079999923706055
2017-04-18,28.219999313354492
2017-04-19,28.489999771118164
2017-04-20,28.979999542236328
2017-04-21,29.010000228881836
2017-04-24,29.43000030517578
2017-04-25,29.770000457763672
2017-04-26,30.190000534057617
2017-04-27,31.190000534057617
2017-04-28,31.239999771118164
2017-05-01,31.440000534057617
2017-05-02,31.459999084472656
2017-05-03,31.200000762939453
2017-05-04,31.049999237060547
2017-05-05,31.520000457763672
2017-05-08,31.420000076293945
2017-05-09,31.40999984741211
2017-05-10,31.290000915527344
2017-05-11,31.030000686645508
2017-05-12,31.020000457763672
2017-05-15,31.170000076293945
2017-05-16,30.979999542236328
2017-05-17,30.729999542236328
2017-05-18,30.8700008392334
2017-05-19,31.049999237060547
2017-05-22,31.450000762939453
2017-05-23,31.270000457763672
2017-05-24,31.260000228881836
2017-05-25,31.510000228881836
2017-05-26,31.549999237060547
2017-05-30,31.350000381469727
2017-05-31,31.489999771118164
2017-06-01,32.34000015258789
2017-06-02,32.33000183105469
2017-06-05,32.34000015258789
2017-06-06,31.899999618530273
2017-06-07,31.860000610351562
2017-06-08,31.520000457763672
2017-06-09,31.969999313354492
2017-06-12,32.349998474121094
2017-06-13,32.650001525878906
2017-06-14,32.5099983215332
2017-06-15,32.5099983215332
2017-06-16,32.43000030517578
2017-06-19,32.900001525878906
2017-06-20,32.38999938964844
2017-06-21,32.099998474121094
2017-06-22,32.11000061035156
2017-06-23,32.27000045776367
2017-06-26,32.66999816894531
2017-06-27,32.349998474121094
2017-06-28,32.38999938964844
2017-06-29,32.650001525878906
2017-06-30,32.95000076293945
2017-07-03,33.310001373291016
2017-07-05,32.45000076293945
2017-07-06,31.389999389648438
2017-07-07,31.489999771118164
2017-07-10,31.729999542236328
2017-07-11,31.940000534057617
2017-07-12,32.09000015258789
2017-07-13,32.33000183105469
2017-07-14,32.540000915527344
2017-07-17,33.20000076293945
2017-07-18,33.04999923706055
2017-07-19,33.38999938964844
2017-07-20,33.41999816894531
2017-07-21,33.5
2017-07-24,33.0099983215332
2017-07-25,32.900001525878906
2017-07-26,32.84000015258789
2017-07-27,33.90999984741211
2017-07-28,34.529998779296875
2017-07-31,34.560001373291016
2017-08-01,34.2599983215332
2017-08-02,34.150001525878906
2017-08-03,34.11000061035156
2017-08-04,34.15999984741211
2017-08-07,34.5
2017-08-08,34.33000183105469
2017-08-09,34.470001220703125
2017-08-10,33.75
2017-08-11,33.81999969482422
2017-08-14,33.779998779296875
2017-08-15,33.70000076293945
2017-08-16,34.5099983215332
2017-08-17,34.09000015258789
2017-08-18,34.04999923706055
2017-08-21,34.060001373291016
2017-08-22,34.29999923706055
2017-08-23,34.13999938964844
2017-08-24,33.95000076293945
2017-08-25,34.29999923706055
2017-08-28,34.2400016784668
2017-08-29,33.91999816894531
2017-08-30,34.290000915527344
2017-08-31,34.650001525878906
2017-09-01,34.720001220703125
2017-09-05,34.88999938964844
2017-09-06,34.83000183105469
2017-09-07,34.75
2017-09-08,34.810001373291016
2017-09-11,35.380001068115234
2017-09-12,35.619998931884766
2017-09-13,35.540000915527344
2017-09-14,35.61000061035156
2017-09-15,35.349998474121094
2017-09-18,35.22999954223633
2017-09-19,34.72999954223633
2017-09-20,35.119998931884766
2017-09-21,34.59000015258789
2017-09-22,34.90999984741211
2017-09-25,35.08000183105469
2017-09-26,35.0
2017-09-27,35.689998626708984
2017-09-28,35.75
2017-09-29,35.9900016784668
2017-10-02,36.2599983215332
2017-10-03,36.43000030517578
2017-10-04,36.7599983215332
2017-10-05,36.790000915527344
2017-10-06,36.880001068115234
2017-10-09,36.630001068115234
2017-10-10,36.7400016784668
2017-10-11,36.959999084472656
2017-10-12,37.16999816894531
2017-10-13,37.27000045776367
2017-10-16,37.459999084472656
2017-10-17,37.40999984741211
2017-10-18,37.540000915527344
2017-10-19,37.22999954223633
2017-10-20,37.34000015258789
2017-10-23,37.060001373291016
2017-10-24,37.099998474121094
2017-10-25,36.540000915527344
2017-10-26,37.099998474121094
2017-10-27,36.7400016784668
2017-10-30,36.52000045776367
2017-10-31,37.689998626708984
2017-11-01,37.41999816894531
2017-11-02,37.7400016784668
2017-11-03,37.709999084472656
2017-11-06,37.630001068115234
2017-11-07,36.970001220703125
2017-11-08,36.90999984741211
2017-11-09,36.93000030517578
2017-11-10,37.15999984741211
2017-11-13,37.220001220703125
2017-11-14,37.459999084472656
2017-11-15,37.150001525878906
2017-11-16,37.66999816894531
2017-11-17,37.75
2017-11-20,37.790000915527344
2017-11-21,37.75
2017-11-22,38.13999938964844
2017-11-24,38.04999923706055
2017-11-27,38.380001068115234
2017-11-28,38.91999816894531
2017-11-29,39.5
2017-11-30,39.41999816894531
2017-12-01,39.31999969482422
2017-12-04,39.279998779296875
2017-12-05,39.2400016784668
2017-12-06,39.31999969482422
2017-12-07,39.75
2017-12-08,40.220001220703125
2017-12-11,40.34000015258789
2017-12-12,40.59000015258789
2017-12-13,40.06999969482422
2017-12-14,39.310001373291016
2017-12-15,39.5099983215332
2017-12-18,40.38999938964844
2017-12-19,40.79999923706055
2017-12-20,40.7400016784668
2017-12-21,40.900001525878906
2017-12-22,40.81999969482422
2017-12-26,40.779998779296875
2017-12-27,40.869998931884766
2017-12-28,41.189998626708984
2017-12-29,40.66999816894531
2018-01-02,41.349998474121094
2018-01-03,41.560001373291016
2018-01-04,42.060001373291016
2018-01-05,42.02000045776367
2018-01-08,41.86000061035156
2018-01-09,41.9900016784668
2018-01-10,42.2400016784668
2018-01-11,42.9900016784668
2018-01-12,43.470001220703125
2018-01-16,43.189998626708984
2018-01-17,43.189998626708984
2018-01-18,42.70000076293945
2018-01-19,42.959999084472656
2018-01-22,42.849998474121094
2018-01-23,43.130001068115234
2018-01-24,42.869998931884766
2018-01-25,42.54999923706055
2018-01-26,42.83000183105469
2018-01-29,42.709999084472656
2018-01-30,42.189998626708984
2018-01-31,42.029998779296875
2018-02-01,41.790000915527344
2018-02-02,40.93000030517578
2018-02-05,39.459999084472656
2018-02-06,40.529998779296875
2018-02-07,40.349998474121094
2018-02-08,38.86000061035156
2018-02-09,38.91999816894531
2018-02-12,40.15999984741211
2018-02-13,40.529998779296875
2018-02-14,41.439998626708984
2018-02-15,41.77000045776367
2018-02-16,41.77000045776367
2018-02-20,41.459999084472656
2018-02-21,41.58000183105469
2018-02-22,40.04999923706055
2018-02-23,40.099998474121094
2018-02-26,40.439998626708984
2018-02-27,39.33000183105469
2018-02-28,39.47999954223633
2018-03-01,39.380001068115234
2018-03-02,38.9900016784668
2018-03-05,38.91999816894531
2018-03-06,39.54999923706055
2018-03-07,39.0
2018-03-08,38.790000915527344
2018-03-09,39.63999938964844
2018-03-12,39.33000183105469
2018-03-13,39.41999816894531
2018-03-14,39.029998779296875
2018-03-15,39.04999923706055
2018-03-16,39.54999923706055
2018-03-19,39.25
2018-03-20,39.400001525878906
2018-03-21,39.5
2018-03-22,37.90999984741211
2018-03-23,37.16999816894531
2018-03-26,37.86000061035156
2018-03-27,37.59000015258789
2018-03-28,37.5
2018-03-29,37.95000076293945
2018-04-02,37.150001525878906
2018-04-03,37.790000915527344
2018-04-04,38.22999954223633
2018-04-05,38.72999954223633
2018-04-06,38.18000030517578
2018-04-09,38.11000061035156
2018-04-10,38.130001068115234
2018-04-11,38.04999923706055
2018-04-12,38.290000915527344
2018-04-13,38.189998626708984
2018-04-16,38.619998931884766
2018-04-17,39.040000915527344
2018-04-18,39.22999954223633
2018-04-19,38.630001068115234
2018-04-20,38.25
2018-04-23,38.34000015258789
2018-04-24,37.5
2018-04-25,37.59000015258789
2018-04-26,30.420000076293945
2018-04-27,31.649999618530273
2018-04-30,31.020000457763672
2018-05-01,30.270000457763672
2018-05-02,30.270000457763672
2018-05-03,30.239999771118164
2018-05-04,30.1299991607666
2018-05-07,30.639999389648438
2018-05-08,30.530000686645508
2018-05-09,30.200000762939453
2018-05-10,30.280000686645508
2018-05-11,30.280000686645508
2018-05-14,30.600000381469727
2018-05-15,30.31999969482422
2018-05-16,30.6200008392334
2018-05-17,30.530000686645508
2018-05-18,30.479999542236328
2018-05-21,30.770000457763672
2018-05-22,30.149999618530273
2018-05-23,29.770000457763672
2018-05-24,30.06999969482422
2018-05-25,30.760000228881836
2018-05-29,30.579999923706055
2018-05-30,31.209999084472656
2018-05-31,31.770000457763672
2018-06-01,31.93000030517578
2018-06-04,32.4900016784668
2018-06-05,32.4900016784668
2018-06-06,32.65999984741211
2018-06-07,32.56999969482422
2018-06-08,32.59000015258789
2018-06-11,32.709999084472656
2018-06-12,32.7400016784668
2018-06-13,32.810001373291016
2018-06-14,33.150001525878906
2018-06-15,33.45000076293945
2018-06-18,33.04999923706055
2018-06-19,32.83000183105469
2018-06-20,32.7599983215332
2018-06-21,32.209999084472656
2018-06-22,32.869998931884766
2018-06-25,32.369998931884766
2018-06-26,32.099998474121094
2018-06-27,31.690000534057617
2018-06-28,31.790000915527344
2018-06-29,31.899999618530273
2018-07-02,31.75
2018-07-03,31.760000228881836
2018-07-05,32.130001068115234
2018-07-06,32.529998779296875
2018-07-09,33.09000015258789
2018-07-10,33.189998626708984
2018-07-11,32.58000183105469
2018-07-12,32.81999969482422
2018-07-13,33.459999084472656
2018-07-16,33.34000015258789
2018-07-17,33.65999984741211
2018-07-18,33.70000076293945
2018-07-19,34.189998626708984
2018-07-20,33.779998779296875
2018-07-23,34.220001220703125
2018-07-24,33.65999984741211
2018-07-25,33.70000076293945
2018-07-26,34.84000015258789
2018-07-27,33.95000076293945
2018-07-30,33.529998779296875
2018-07-31,33.52000045776367
2018-08-01,33.220001220703125
2018-08-02,33.220001220703125
2018-08-03,33.439998626708984
2018-08-06,33.099998474121094
2018-08-07,34.369998931884766
2018-08-08,33.95000076293945
2018-08-09,33.970001220703125
2018-08-10,33.75
2018-08-13,33.18000030517578
2018-08-14,33.439998626708984
2018-08-15,33.16999816894531
2018-08-16,33.20000076293945
2018-08-17,33.15999984741211
2018-08-20,33.22999954223633
2018-08-21,33.41999816894531
2018-08-22,32.939998626708984
2018-08-23,33.20000076293945
2018-08-24,33.61000061035156
2018-08-27,34.04999923706055
2018-08-28,34.119998931884766
2018-08-29,34.689998626708984
2018-08-30,34.33000183105469
2018-08-31,34.52000045776367
2018-09-04,34.27000045776367
2018-09-05,34.0099983215332
2018-09-06,33.709999084472656
2018-09-07,33.279998779296875
2018-09-10,33.209999084472656
2018-09-11,33.25
2018-09-12,32.90999984741211
2018-09-13,33.0
2018-09-14,32.779998779296875
2018-09-17,32.040000915527344
2018-09-18,32.290000915527344
2018-09-19,32.41999816894531
2018-09-20,33.02000045776367
2018-09-21,32.38999938964844
2018-09-24,31.719999313354492
2018-09-25,31.889999389648438
2018-09-26,31.81999969482422
2018-09-27,31.719999313354492
2018-09-28,31.670000076293945
2018-10-01,31.6200008392334
2018-10-02,31.280000686645508
2018-10-03,31.010000228881836
2018-10-04,30.34000015258789
2018-10-05,30.040000915527344
2018-10-08,30.190000534057617
2018-10-09,29.729999542236328
2018-10-10,28.59000015258789
2018-10-11,28.31999969482422
2018-10-12,28.530000686645508
2018-10-15,28.530000686645508
2018-10-16,29.420000076293945
2018-10-17,28.610000610351562
2018-10-18,27.979999542236328
2018-10-19,27.760000228881836
2018-10-22,27.350000381469727
2018-10-23,26.989999771118164
2018-10-24,25.68000030517578
2018-10-25,26.600000381469727
2018-10-26,26.3799991607666
2018-10-29,26.6200008392334
2018-10-30,26.68000030517578
2018-10-31,27.270000457763672
2018-11-01,27.670000076293945
2018-11-02,27.770000457763672
2018-11-05,27.760000228881836
2018-11-06,27.8700008392334
2018-11-07,28.389999389648438
2018-11-08,28.65999984741211
2018-11-09,27.729999542236328
2018-11-12,27.229999542236328
2018-11-13,27.059999465942383
2018-11-14,27.709999084472656
2018-11-15,27.799999237060547
2018-11-16,28.399999618530273
2018-11-19,27.489999771118164
2018-11-20,26.950000762939453
2018-11-21,27.290000915527344
2018-11-23,27.34000015258789
2018-11-26,27.790000915527344
2018-11-27,27.6200008392334
2018-11-28,28.030000686645508
2018-11-29,27.780000686645508
2018-11-30,27.84000015258789
2018-12-03,28.270000457763672
2018-12-04,26.65999984741211
2018-12-06,26.360000610351562
2018-12-07,25.6299991607666
2018-12-10,25.6299991607666
2018-12-11,25.309999465942383
2018-12-12,25.829999923706055
2018-12-13,25.229999542236328
2018-12-14,24.600000381469727
2018-12-17,24.549999237060547
2018-12-18,24.549999237060547
2018-12-19,24.329999923706055
2018-12-20,23.84000015258789
2018-12-21,23.56999969482422
2018-12-24,23.899999618530273
2018-12-26,24.75
2018-12-27,24.09000015258789
2018-12-28,23.959999084472656
2018-12-31,23.729999542236328
2019-01-02,23.700000762939453
2019-01-03,22.90999984741211
2019-01-04,23.829999923706055
2019-01-07,24.170000076293945
2019-01-08,24.81999969482422
2019-01-09,25.780000686645508
2019-01-10,26.190000534057617
2019-01-11,26.31999969482422
2019-01-14,26.649999618530273
2019-01-15,26.65999984741211
2019-01-16,26.81999969482422
2019-01-17,26.899999618530273
2019-01-18,26.25
2019-01-22,25.899999618530273
2019-01-23,25.809999465942383
2019-01-24,26.239999771118164
2019-01-25,26.079999923706055
2019-01-28,26.299999237060547
2019-01-29,26.270000457763672
2019-01-30,26.56999969482422
2019-01-31,26.219999313354492
2019-02-01,26.43000030517578
2019-02-04,27.170000076293945
2019-02-05,27.170000076293945
2019-02-06,27.030000686645508
2019-02-07,26.25
2019-02-08,26.229999542236328
2019-02-11,26.420000076293945
2019-02-12,26.700000762939453
2019-02-13,26.75
2019-02-14,26.459999084472656
2019-02-15,27.149999618530273
2019-02-19,27.0
2019-02-20,26.969999313354492
2019-02-21,27.34000015258789
2019-02-22,27.329999923706055
2019-02-25,27.520000457763672
2019-02-26,27.260000228881836
2019-02-27,27.260000228881836
2019-02-28,27.700000762939453
2019-03-01,27.81999969482422
2019-03-04,28.100000381469727
2019-03-05,27.780000686645508
2019-03-06,28.469999313354492
2019-03-07,27.799999237060547
2019-03-08,27.350000381469727
2019-03-11,27.31999969482422
2019-03-12,26.8700008392334
2019-03-13,27.34000015258789
2019-03-14,27.8799991607666
2019-03-15,27.860000610351562
2019-03-18,28.31999969482422
2019-03-19,28.639999389648438
2019-03-20,28.700000762939453
2019-03-21,29.010000228881836
2019-03-22,28.360000610351562
2019-03-25,28.34000015258789
2019-03-26,28.31999969482422
2019-03-27,28.209999084472656
2019-03-28,28.209999084472656
2019-03-29,28.3799991607666
2019-04-01,29.209999084472656
2019-04-02,29.170000076293945
2019-04-03,29.639999389648438
2019-04-04,29.760000228881836
2019-04-05,30.049999237060547
2019-04-08,30.18000030517578
2019-04-09,30.059999465942383
2019-04-10,30.329999923706055
2019-04-11,30.389999389648438
2019-04-12,30.81999969482422
2019-04-15,31.030000686645508
2019-04-16,31.110000610351562
2019-04-17,31.1200008392334
2019-04-18,30.780000686645508
2019-04-22,30.610000610351562
2019-04-23,31.34000015258789
2019-04-24,31.440000534057617
2019-04-25,29.65999984741211
2019-04-26,30.040000915527344
2019-04-29,30.079999923706055
2019-04-30,30.100000381469727
2019-05-01,29.639999389648438
2019-05-02,29.049999237060547
2019-05-03,28.790000915527344
2019-05-06,28.5
2019-05-07,27.979999542236328
2019-05-08,27.829999923706055
2019-05-09,27.420000076293945
2019-05-10,27.31999969482422
2019-05-13,26.780000686645508
2019-05-14,27.020000457763672
2019-05-15,27.079999923706055
2019-05-16,27.440000534057617
2019-05-17,27.100000381469727
2019-05-20,26.8700008392334
2019-05-21,27.15999984741211
2019-05-22,27.0
2019-05-23,26.479999542236328
2019-05-24,26.540000915527344
2019-05-28,26.31999969482422
2019-05-29,26.049999237060547
2019-05-30,25.84000015258789
2019-05-31,25.649999618530273
2019-06-03,25.6299991607666
2019-06-04,26.389999389648438
2019-06-05,26.3799991607666
2019-06-06,25.940000534057617
2019-06-07,26.559999465942383
2019-06-10,26.75
2019-06-11,26.729999542236328
2019-06-12,26.190000534057617
2019-06-13,26.3700008392334
2019-06-14,26.239999771118164
2019-06-17,26.170000076293945
2019-06-18,26.329999923706055
2019-06-19,26.520000457763672
2019-06-20,26.670000076293945
2019-06-21,26.639999389648438
2019-06-24,26.219999313354492
2019-06-25,26.270000457763672
2019-06-26,26.18000030517578
2019-06-27,26.260000228881836
2019-06-28,26.610000610351562
2019-07-01,27.049999237060547
2019-07-02,26.549999237060547
2019-07-03,26.690000534057617
2019-07-05,26.639999389648438
2019-07-08,26.1299991607666
2019-07-09,26.030000686645508
2019-07-10,26.15999984741211
2019-07-11,26.239999771118164
2019-07-12,26.81999969482422
2019-07-15,26.899999618530273
2019-07-16,26.989999771118164
2019-07-17,26.020000457763672
2019-07-18,25.68000030517578
2019-07-19,24.940000534057617
2019-07-22,25.030000686645508
2019-07-23,25.850000381469727
2019-07-24,26.239999771118164
2019-07-25,27.579999923706055
2019-07-26,27.729999542236328
2019-07-29,27.350000381469727
2019-07-30,26.899999618530273
2019-07-31,26.93000030517578
2019-08-01,26.149999618530273
2019-08-02,25.549999237060547
2019-08-05,25.09000015258789
2019-08-06,25.549999237060547
2019-08-07,25.56999969482422
2019-08-08,25.940000534057617
2019-08-09,25.440000534057617
2019-08-12,25.040000915527344
2019-08-13,25.350000381469727
2019-08-14,24.75
2019-08-15,24.59000015258789
2019-08-16,25.56999969482422
2019-08-19,26.309999465942383
2019-08-20,26.06999969482422
2019-08-21,26.0
2019-08-22,25.93000030517578
2019-08-23,25.459999084472656
2019-08-26,25.399999618530273
2019-08-27,25.030000686645508
2019-08-28,25.649999618530273
2019-08-29,26.190000534057617
