Date,Close
2016-07-05,40.5099983215332
2016-07-06,40.29999923706055
2016-07-07,40.59000015258789
2016-07-08,42.060001373291016
2016-07-11,43.15999984741211
2016-07-12,44.54999923706055
2016-07-13,43.97999954223633
2016-07-14,42.77000045776367
2016-07-15,41.189998626708984
2016-07-18,41.15999984741211
2016-07-19,40.13999938964844
2016-07-20,41.189998626708984
2016-07-21,41.119998931884766
2016-07-22,41.11000061035156
2016-07-25,41.689998626708984
2016-07-26,41.869998931884766
2016-07-27,42.130001068115234
2016-07-28,42.959999084472656
2016-07-29,42.599998474121094
2016-08-01,42.459999084472656
2016-08-02,39.7599983215332
2016-08-03,40.45000076293945
2016-08-04,41.65999984741211
2016-08-05,43.099998474121094
2016-08-08,42.959999084472656
2016-08-09,37.90999984741211
2016-08-10,37.29999923706055
2016-08-11,38.779998779296875
2016-08-12,38.439998626708984
2016-08-15,38.369998931884766
2016-08-16,37.630001068115234
2016-08-17,38.65999984741211
2016-08-18,38.70000076293945
2016-08-19,38.209999084472656
2016-08-22,37.68000030517578
2016-08-23,37.68000030517578
2016-08-24,36.86000061035156
2016-08-25,36.18000030517578
2016-08-26,35.79999923706055
2016-08-29,35.52000045776367
2016-08-30,35.849998474121094
2016-08-31,35.88999938964844
2016-09-01,37.04999923706055
2016-09-02,35.61000061035156
2016-09-06,35.310001373291016
2016-09-07,34.970001220703125
2016-09-08,34.400001525878906
2016-09-09,34.5
2016-09-12,35.25
2016-09-13,35.290000915527344
2016-09-14,35.959999084472656
2016-09-15,36.2400016784668
2016-09-16,35.75
2016-09-19,35.34000015258789
2016-09-20,36.310001373291016
2016-09-21,36.29999923706055
2016-09-22,37.16999816894531
2016-09-23,37.41999816894531
2016-09-26,36.720001220703125
2016-09-27,37.689998626708984
2016-09-28,37.439998626708984
2016-09-29,37.15999984741211
2016-09-30,37.70000076293945
2016-10-03,37.779998779296875
2016-10-04,38.04999923706055
2016-10-05,38.2599983215332
2016-10-06,38.63999938964844
2016-10-07,38.459999084472656
2016-10-10,38.47999954223633
2016-10-11,37.95000076293945
2016-10-12,38.08000183105469
2016-10-13,37.790000915527344
2016-10-14,37.33000183105469
2016-10-17,37.470001220703125
2016-10-18,38.25
2016-10-19,38.11000061035156
2016-10-20,38.7400016784668
2016-10-21,37.9900016784668
2016-10-24,38.060001373291016
2016-10-25,37.72999954223633
2016-10-26,37.970001220703125
2016-10-27,35.709999084472656
2016-10-28,38.2400016784668
2016-10-31,38.869998931884766
2016-11-01,37.70000076293945
2016-11-02,37.4900016784668
2016-11-03,37.209999084472656
2016-11-04,37.0
2016-11-07,37.83000183105469
2016-11-08,39.130001068115234
2016-11-09,35.529998779296875
2016-11-10,37.970001220703125
2016-11-11,38.41999816894531
2016-11-14,41.34000015258789
2016-11-15,40.16999816894531
2016-11-16,39.56999969482422
2016-11-17,39.83000183105469
2016-11-18,39.68000030517578
2016-11-21,39.59000015258789
2016-11-22,40.25
2016-11-23,39.97999954223633
2016-11-25,40.58000183105469
2016-11-28,40.099998474121094
2016-11-29,40.709999084472656
2016-11-30,39.810001373291016
2016-12-01,38.849998474121094
2016-12-02,39.279998779296875
2016-12-05,40.63999938964844
2016-12-06,41.25
2016-12-07,42.65999984741211
2016-12-08,44.02000045776367
2016-12-09,44.5
2016-12-12,43.9900016784668
2016-12-13,43.900001525878906
2016-12-14,44.029998779296875
2016-12-15,45.13999938964844
2016-12-16,44.130001068115234
2016-12-19,43.060001373291016
2016-12-20,44.91999816894531
2016-12-21,44.93000030517578
2016-12-22,43.380001068115234
2016-12-23,43.5099983215332
2016-12-27,43.689998626708984
2016-12-28,42.93000030517578
2016-12-29,42.65999984741211
2016-12-30,42.529998779296875
2017-01-03,42.790000915527344
2017-01-04,44.77000045776367
2017-01-05,44.54999923706055
2017-01-06,44.25
2017-01-09,44.38999938964844
2017-01-10,45.220001220703125
2017-01-11,45.75
2017-01-12,45.349998474121094
2017-01-13,44.95000076293945
2017-01-17,44.7400016784668
2017-01-18,45.66999816894531
2017-01-19,45.619998931884766
2017-01-20,45.630001068115234
2017-01-23,46.0
2017-01-24,46.84000015258789
2017-01-25,48.09000015258789
2017-01-26,49.33000183105469
2017-01-27,49.02000045776367
2017-01-30,48.029998779296875
2017-01-31,47.0
2017-02-01,48.08000183105469
2017-02-02,47.65999984741211
2017-02-03,47.7400016784668
2017-02-06,47.52000045776367
2017-02-07,47.70000076293945
2017-02-08,47.86000061035156
2017-02-09,48.060001373291016
2017-02-10,47.79999923706055
2017-02-13,47.869998931884766
2017-02-14,47.77000045776367
2017-02-15,47.91999816894531
2017-02-16,47.630001068115234
2017-02-17,47.689998626708984
2017-02-21,48.20000076293945
2017-02-22,51.63999938964844
2017-02-23,50.68000030517578
2017-02-24,50.02000045776367
2017-02-27,50.77000045776367
2017-02-28,50.70000076293945
2017-03-01,51.04999923706055
2017-03-02,50.97999954223633
2017-03-03,50.11000061035156
2017-03-06,49.7599983215332
2017-03-07,49.41999816894531
2017-03-08,49.52000045776367
2017-03-09,49.91999816894531
2017-03-10,51.099998474121094
2017-03-13,51.31999969482422
2017-03-14,50.959999084472656
2017-03-15,51.40999984741211
2017-03-16,51.43000030517578
2017-03-17,51.310001373291016
2017-03-20,51.099998474121094
2017-03-21,50.0
2017-03-22,50.970001220703125
2017-03-23,51.11000061035156
2017-03-24,50.47999954223633
2017-03-27,51.02000045776367
2017-03-28,51.29999923706055
2017-03-29,50.86000061035156
2017-03-30,51.2400016784668
2017-03-31,50.72999954223633
2017-04-03,50.189998626708984
2017-04-04,49.7599983215332
2017-04-05,49.779998779296875
2017-04-06,49.90999984741211
2017-04-07,48.310001373291016
2017-04-10,48.540000915527344
2017-04-11,47.470001220703125
2017-04-12,47.849998474121094
2017-04-13,48.029998779296875
2017-04-17,48.959999084472656
2017-04-18,48.81999969482422
2017-04-19,49.209999084472656
2017-04-20,50.13999938964844
2017-04-21,50.130001068115234
2017-04-24,50.349998474121094
2017-04-25,51.08000183105469
2017-04-26,52.7599983215332
2017-04-27,52.68000030517578
2017-04-28,53.93000030517578
2017-05-01,54.900001525878906
2017-05-02,55.060001373291016
2017-05-03,54.900001525878906
2017-05-04,54.84000015258789
2017-05-05,55.4900016784668
2017-05-08,55.099998474121094
2017-05-09,55.779998779296875
2017-05-10,54.06999969482422
2017-05-11,52.95000076293945
2017-05-12,51.5
2017-05-15,51.5
2017-05-16,50.310001373291016
2017-05-17,48.06999969482422
2017-05-18,49.119998931884766
2017-05-19,49.34000015258789
2017-05-22,50.5099983215332
2017-05-23,49.58000183105469
2017-05-24,49.63999938964844
2017-05-25,50.68000030517578
2017-05-26,50.84000015258789
2017-05-30,50.06999969482422
2017-05-31,49.970001220703125
2017-06-01,50.93000030517578
2017-06-02,51.15999984741211
2017-06-05,50.310001373291016
2017-06-06,49.720001220703125
2017-06-07,50.790000915527344
2017-06-08,51.790000915527344
2017-06-09,51.130001068115234
2017-06-12,50.41999816894531
2017-06-13,51.84000015258789
2017-06-14,52.16999816894531
2017-06-15,52.90999984741211
2017-06-16,52.900001525878906
2017-06-19,53.630001068115234
2017-06-20,53.099998474121094
2017-06-21,54.900001525878906
2017-06-22,55.459999084472656
2017-06-23,54.810001373291016
2017-06-26,55.310001373291016
2017-06-27,53.86000061035156
2017-06-28,55.279998779296875
2017-06-29,54.41999816894531
2017-06-30,54.290000915527344
2017-07-03,54.54999923706055
2017-07-05,55.40999984741211
2017-07-06,54.060001373291016
2017-07-07,54.68000030517578
2017-07-10,54.029998779296875
2017-07-11,53.959999084472656
2017-07-12,54.09000015258789
2017-07-13,54.2400016784668
2017-07-14,53.470001220703125
2017-07-17,54.130001068115234
2017-07-18,54.18000030517578
2017-07-19,54.380001068115234
2017-07-20,55.04999923706055
2017-07-21,55.06999969482422
2017-07-24,55.72999954223633
2017-07-25,55.75
2017-07-26,55.650001525878906
2017-07-27,55.11000061035156
2017-07-28,55.209999084472656
2017-07-31,55.06999969482422
2017-08-01,56.90999984741211
2017-08-02,55.84000015258789
2017-08-03,56.25
2017-08-04,56.900001525878906
2017-08-07,56.650001525878906
2017-08-08,59.41999816894531
2017-08-09,58.36000061035156
2017-08-10,57.06999969482422
2017-08-11,56.77000045776367
2017-08-14,57.459999084472656
2017-08-15,57.45000076293945
2017-08-16,57.900001525878906
2017-08-17,56.18000030517578
2017-08-18,55.779998779296875
2017-08-21,55.86000061035156
2017-08-22,56.900001525878906
2017-08-23,57.150001525878906
2017-08-24,57.72999954223633
2017-08-25,57.720001220703125
2017-08-28,57.880001068115234
2017-08-29,57.63999938964844
2017-08-30,58.220001220703125
2017-08-31,59.459999084472656
2017-09-01,58.540000915527344
2017-09-05,56.689998626708984
2017-09-06,57.119998931884766
2017-09-07,55.86000061035156
2017-09-08,55.119998931884766
2017-09-11,56.650001525878906
2017-09-12,57.20000076293945
2017-09-13,57.790000915527344
2017-09-14,57.720001220703125
2017-09-15,56.7400016784668
2017-09-18,56.349998474121094
2017-09-19,55.459999084472656
2017-09-20,54.36000061035156
2017-09-21,54.400001525878906
2017-09-22,54.02000045776367
2017-09-25,53.599998474121094
2017-09-26,54.88999938964844
2017-09-27,52.83000183105469
2017-09-28,53.650001525878906
2017-09-29,54.04999923706055
2017-10-02,54.41999816894531
2017-10-03,54.72999954223633
2017-10-04,55.97999954223633
2017-10-05,58.40999984741211
2017-10-06,58.84000015258789
2017-10-09,58.88999938964844
2017-10-10,59.15999984741211
2017-10-11,58.79999923706055
2017-10-12,58.86000061035156
2017-10-13,58.7400016784668
2017-10-16,58.91999816894531
2017-10-17,58.61000061035156
2017-10-18,57.470001220703125
2017-10-19,54.16999816894531
2017-10-20,53.72999954223633
2017-10-23,53.720001220703125
2017-10-24,54.65999984741211
2017-10-25,54.790000915527344
2017-10-26,54.91999816894531
2017-10-27,55.63999938964844
2017-10-30,54.79999923706055
2017-10-31,55.75
2017-11-01,54.20000076293945
2017-11-02,54.90999984741211
2017-11-03,55.029998779296875
2017-11-06,55.2599983215332
2017-11-07,55.36000061035156
2017-11-08,55.560001373291016
2017-11-09,56.88999938964844
2017-11-10,55.22999954223633
2017-11-13,55.27000045776367
2017-11-14,55.099998474121094
2017-11-15,55.06999969482422
2017-11-16,53.970001220703125
2017-11-17,54.84000015258789
2017-11-20,54.689998626708984
2017-11-21,55.47999954223633
2017-11-22,55.310001373291016
2017-11-24,55.5
2017-11-27,55.61000061035156
2017-11-28,55.310001373291016
2017-11-29,55.290000915527344
2017-11-30,54.15999984741211
2017-12-01,54.810001373291016
2017-12-04,55.40999984741211
2017-12-05,54.33000183105469
2017-12-06,54.310001373291016
2017-12-07,54.34000015258789
2017-12-08,55.029998779296875
2017-12-11,54.720001220703125
2017-12-12,53.650001525878906
2017-12-13,53.15999984741211
2017-12-14,52.810001373291016
2017-12-15,54.0
2017-12-18,54.97999954223633
2017-12-19,55.59000015258789
2017-12-20,54.81999969482422
2017-12-21,54.13999938964844
2017-12-22,54.029998779296875
2017-12-26,53.72999954223633
2017-12-27,54.0
2017-12-28,53.61000061035156
2017-12-29,53.25
2018-01-02,54.959999084472656
2018-01-03,55.369998931884766
2018-01-04,54.68000030517578
2018-01-05,54.869998931884766
2018-01-08,54.65999984741211
2018-01-09,54.939998626708984
2018-01-10,55.599998474121094
2018-01-11,56.15999984741211
2018-01-12,57.849998474121094
2018-01-16,57.38999938964844
2018-01-17,59.27000045776367
2018-01-18,58.86000061035156
2018-01-19,59.43000030517578
2018-01-22,59.369998931884766
2018-01-23,58.33000183105469
2018-01-24,59.77000045776367
2018-01-25,59.61000061035156
2018-01-26,60.93000030517578
2018-01-29,60.56999969482422
2018-01-30,59.959999084472656
2018-01-31,60.7400016784668
2018-02-01,60.59000015258789
2018-02-02,59.0
2018-02-05,56.95000076293945
2018-02-06,58.20000076293945
2018-02-07,57.7400016784668
2018-02-08,56.0099983215332
2018-02-09,56.209999084472656
2018-02-12,57.45000076293945
2018-02-13,57.5
2018-02-14,58.880001068115234
2018-02-15,59.36000061035156
2018-02-16,59.11000061035156
2018-02-20,58.95000076293945
2018-02-21,58.720001220703125
2018-02-22,57.290000915527344
2018-02-23,57.900001525878906
2018-02-26,57.95000076293945
2018-02-27,56.27000045776367
2018-02-28,56.900001525878906
2018-03-01,56.77000045776367
2018-03-02,56.439998626708984
2018-03-05,55.58000183105469
2018-03-06,56.0
2018-03-07,55.5
2018-03-08,55.45000076293945
2018-03-09,57.150001525878906
2018-03-12,56.58000183105469
2018-03-13,56.650001525878906
2018-03-14,55.95000076293945
2018-03-15,55.34000015258789
2018-03-16,56.119998931884766
2018-03-19,55.41999816894531
2018-03-20,55.720001220703125
2018-03-21,54.16999816894531
2018-03-22,52.709999084472656
2018-03-23,51.400001525878906
2018-03-26,52.439998626708984
2018-03-27,52.869998931884766
2018-03-28,52.47999954223633
2018-03-29,52.970001220703125
2018-04-02,51.970001220703125
2018-04-03,52.38999938964844
2018-04-04,53.040000915527344
2018-04-05,54.38999938964844
2018-04-06,53.209999084472656
2018-04-09,53.029998779296875
2018-04-10,52.0
2018-04-11,52.33000183105469
2018-04-12,53.34000015258789
2018-04-13,52.41999816894531
2018-04-16,53.439998626708984
2018-04-17,53.880001068115234
2018-04-18,55.43000030517578
2018-04-19,54.959999084472656
2018-04-20,55.650001525878906
2018-04-23,56.75
2018-04-24,56.11000061035156
2018-04-25,56.380001068115234
2018-04-26,55.04999923706055
2018-04-27,54.75
2018-04-30,53.470001220703125
2018-05-01,53.86000061035156
2018-05-02,52.029998779296875
2018-05-03,51.099998474121094
2018-05-04,51.5099983215332
2018-05-07,50.310001373291016
2018-05-08,50.650001525878906
2018-05-09,51.15999984741211
2018-05-10,51.400001525878906
2018-05-11,51.459999084472656
2018-05-14,51.41999816894531
2018-05-15,51.709999084472656
2018-05-16,52.5
2018-05-17,52.4900016784668
2018-05-18,52.970001220703125
2018-05-21,53.31999969482422
2018-05-22,53.18000030517578
2018-05-23,52.849998474121094
2018-05-24,53.66999816894531
2018-05-25,54.130001068115234
2018-05-29,52.810001373291016
2018-05-30,52.77000045776367
2018-05-31,52.34000015258789
2018-06-01,53.18000030517578
2018-06-04,53.029998779296875
2018-06-05,50.79999923706055
2018-06-06,51.54999923706055
2018-06-07,51.95000076293945
2018-06-08,51.75
2018-06-11,52.27000045776367
2018-06-12,52.72999954223633
2018-06-13,53.439998626708984
2018-06-14,54.45000076293945
2018-06-15,54.95000076293945
2018-06-18,54.54999923706055
2018-06-19,53.61000061035156
2018-06-20,52.9900016784668
2018-06-21,51.900001525878906
2018-06-22,51.959999084472656
2018-06-25,48.77000045776367
2018-06-26,49.47999954223633
2018-06-27,48.099998474121094
2018-06-28,47.650001525878906
2018-06-29,47.25
2018-07-02,47.060001373291016
2018-07-03,46.650001525878906
2018-07-05,46.619998931884766
2018-07-06,47.04999923706055
2018-07-09,47.77000045776367
2018-07-10,47.599998474121094
2018-07-11,47.61000061035156
2018-07-12,47.959999084472656
2018-07-13,47.08000183105469
2018-07-16,47.189998626708984
2018-07-17,47.56999969482422
2018-07-18,50.13999938964844
2018-07-19,49.849998474121094
2018-07-20,49.540000915527344
2018-07-23,49.849998474121094
2018-07-24,49.849998474121094
2018-07-25,50.15999984741211
2018-07-26,50.04999923706055
2018-07-27,49.7599983215332
2018-07-30,49.7599983215332
2018-07-31,50.029998779296875
2018-08-01,49.220001220703125
2018-08-02,49.68000030517578
2018-08-03,49.810001373291016
2018-08-06,49.75
2018-08-07,49.61000061035156
2018-08-08,48.93000030517578
2018-08-09,50.95000076293945
2018-08-10,50.61000061035156
2018-08-13,51.15999984741211
2018-08-14,52.02000045776367
2018-08-15,51.970001220703125
2018-08-16,51.88999938964844
2018-08-17,52.4900016784668
2018-08-20,53.08000183105469
2018-08-21,53.36000061035156
2018-08-22,52.59000015258789
2018-08-23,52.380001068115234
2018-08-24,53.06999969482422
2018-08-27,53.43000030517578
2018-08-28,53.61000061035156
2018-08-29,54.25
2018-08-30,53.31999969482422
2018-08-31,53.61000061035156
2018-09-04,53.02000045776367
2018-09-05,52.97999954223633
2018-09-06,53.20000076293945
2018-09-07,53.369998931884766
2018-09-10,53.41999816894531
2018-09-11,53.15999984741211
2018-09-12,53.52000045776367
2018-09-13,53.9900016784668
2018-09-14,55.470001220703125
2018-09-17,55.83000183105469
2018-09-18,56.91999816894531
2018-09-19,57.04999923706055
2018-09-20,57.459999084472656
2018-09-21,57.880001068115234
2018-09-24,56.939998626708984
2018-09-25,56.41999816894531
2018-09-26,57.18000030517578
2018-09-27,56.88999938964844
2018-09-28,57.43000030517578
2018-10-01,56.7599983215332
2018-10-02,56.47999954223633
2018-10-03,56.15999984741211
2018-10-04,55.04999923706055
2018-10-05,54.2400016784668
2018-10-08,54.279998779296875
2018-10-09,53.970001220703125
2018-10-10,52.11000061035156
2018-10-11,50.619998931884766
2018-10-12,50.70000076293945
2018-10-15,50.709999084472656
2018-10-16,51.900001525878906
2018-10-17,51.41999816894531
2018-10-18,49.88999938964844
2018-10-19,49.0
2018-10-22,48.209999084472656
2018-10-23,48.09000015258789
2018-10-24,45.08000183105469
2018-10-25,45.43000030517578
2018-10-26,43.880001068115234
2018-10-29,42.33000183105469
2018-10-30,42.400001525878906
2018-10-31,44.06999969482422
2018-11-01,46.400001525878906
2018-11-02,45.79999923706055
2018-11-05,46.09000015258789
2018-11-06,46.56999969482422
2018-11-07,48.0
2018-11-08,49.27000045776367
2018-11-09,48.75
2018-11-12,48.56999969482422
2018-11-13,49.4900016784668
2018-11-14,49.709999084472656
2018-11-15,50.439998626708984
2018-11-16,50.43000030517578
2018-11-19,49.27000045776367
2018-11-20,49.4900016784668
2018-11-21,50.150001525878906
2018-11-23,50.7400016784668
2018-11-26,51.560001373291016
2018-11-27,50.959999084472656
2018-11-28,51.59000015258789
2018-11-29,51.560001373291016
2018-11-30,51.31999969482422
2018-12-03,51.540000915527344
2018-12-04,48.77000045776367
2018-12-06,49.36000061035156
2018-12-07,47.59000015258789
2018-12-10,47.72999954223633
2018-12-11,47.22999954223633
2018-12-12,47.66999816894531
2018-12-13,47.27000045776367
2018-12-14,47.619998931884766
2018-12-17,47.13999938964844
2018-12-18,46.77000045776367
2018-12-19,45.16999816894531
2018-12-20,42.29999923706055
2018-12-21,40.790000915527344
2018-12-24,39.54999923706055
2018-12-26,41.939998626708984
2018-12-27,41.560001373291016
2018-12-28,41.97999954223633
2018-12-31,42.38999938964844
2019-01-02,42.380001068115234
2019-01-03,40.709999084472656
2019-01-04,43.029998779296875
2019-01-07,43.709999084472656
2019-01-08,45.029998779296875
2019-01-09,45.7400016784668
2019-01-10,46.16999816894531
2019-01-11,46.189998626708984
2019-01-14,45.540000915527344
2019-01-15,46.029998779296875
2019-01-16,45.849998474121094
2019-01-17,46.790000915527344
2019-01-18,47.529998779296875
2019-01-22,46.599998474121094
2019-01-23,46.720001220703125
2019-01-24,46.9900016784668
2019-01-25,47.93000030517578
2019-01-28,48.369998931884766
2019-01-29,48.720001220703125
2019-01-30,50.849998474121094
2019-01-31,51.43000030517578
2019-02-01,51.470001220703125
2019-02-04,52.08000183105469
2019-02-05,51.810001373291016
2019-02-06,52.619998931884766
2019-02-07,51.349998474121094
2019-02-08,51.310001373291016
2019-02-11,51.880001068115234
2019-02-12,51.81999969482422
2019-02-13,52.540000915527344
2019-02-14,52.189998626708984
2019-02-15,53.029998779296875
2019-02-19,53.380001068115234
2019-02-20,53.70000076293945
2019-02-21,55.52000045776367
2019-02-22,55.349998474121094
2019-02-25,55.939998626708984
2019-02-26,55.56999969482422
2019-02-27,54.91999816894531
2019-02-28,55.529998779296875
2019-03-01,55.27000045776367
2019-03-04,54.599998474121094
2019-03-05,55.45000076293945
2019-03-06,55.119998931884766
2019-03-07,54.65999984741211
2019-03-08,55.0099983215332
2019-03-11,55.459999084472656
2019-03-12,55.349998474121094
2019-03-13,55.08000183105469
2019-03-14,55.15999984741211
2019-03-15,55.54999923706055
2019-03-18,56.15999984741211
2019-03-19,56.11000061035156
2019-03-20,55.869998931884766
2019-03-21,56.5
2019-03-22,55.619998931884766
2019-03-25,55.16999816894531
2019-03-26,54.47999954223633
2019-03-27,53.939998626708984
2019-03-28,54.33000183105469
2019-03-29,54.959999084472656
2019-04-01,56.11000061035156
2019-04-02,56.5
2019-04-03,56.7599983215332
2019-04-04,56.72999954223633
2019-04-05,57.130001068115234
2019-04-08,57.290000915527344
2019-04-09,55.880001068115234
2019-04-10,56.5
2019-04-11,57.47999954223633
2019-04-12,58.599998474121094
2019-04-15,58.66999816894531
2019-04-16,59.560001373291016
2019-04-17,57.84000015258789
2019-04-18,56.91999816894531
2019-04-22,56.599998474121094
2019-04-23,57.29999923706055
2019-04-24,56.97999954223633
2019-04-25,56.79999923706055
2019-04-26,57.27000045776367
2019-04-29,57.08000183105469
2019-04-30,56.38999938964844
2019-05-01,58.0
2019-05-02,56.900001525878906
2019-05-03,58.25
2019-05-06,58.290000915527344
2019-05-07,57.189998626708984
2019-05-08,57.34000015258789
2019-05-09,57.59000015258789
2019-05-10,57.900001525878906
2019-05-13,55.290000915527344
2019-05-14,56.29999923706055
2019-05-15,56.72999954223633
2019-05-16,57.54999923706055
2019-05-17,56.91999816894531
2019-05-20,55.88999938964844
2019-05-21,56.77000045776367
2019-05-22,56.810001373291016
2019-05-23,55.54999923706055
2019-05-24,55.380001068115234
2019-05-28,55.220001220703125
2019-05-29,54.65999984741211
2019-05-30,55.15999984741211
2019-05-31,54.709999084472656
2019-06-03,54.29999923706055
2019-06-04,54.2599983215332
2019-06-05,52.380001068115234
2019-06-06,51.939998626708984
2019-06-07,52.59000015258789
2019-06-10,53.83000183105469
2019-06-11,53.59000015258789
2019-06-12,53.84000015258789
2019-06-13,53.720001220703125
2019-06-14,54.279998779296875
2019-06-17,53.040000915527344
2019-06-18,53.75
2019-06-19,53.90999984741211
2019-06-20,52.560001373291016
2019-06-21,51.11000061035156
2019-06-24,50.83000183105469
2019-06-25,50.86000061035156
2019-06-26,50.40999984741211
2019-06-27,51.84000015258789
2019-06-28,53.630001068115234
2019-07-01,52.81999969482422
2019-07-02,53.72999954223633
2019-07-03,52.7599983215332
2019-07-05,51.95000076293945
2019-07-08,50.25
2019-07-09,50.7599983215332
2019-07-10,49.650001525878906
2019-07-11,49.619998931884766
2019-07-12,49.790000915527344
2019-07-15,50.36000061035156
2019-07-16,50.81999969482422
2019-07-17,49.400001525878906
2019-07-18,49.279998779296875
2019-07-19,48.599998474121094
2019-07-22,47.91999816894531
2019-07-23,48.45000076293945
2019-07-24,49.459999084472656
2019-07-25,48.7599983215332
2019-07-26,49.040000915527344
2019-07-29,49.099998474121094
2019-07-30,48.5
2019-07-31,49.439998626708984
2019-08-01,48.56999969482422
2019-08-02,47.45000076293945
2019-08-05,46.04999923706055
2019-08-06,46.91999816894531
2019-08-07,47.63999938964844
2019-08-08,48.599998474121094
2019-08-09,49.65999984741211
2019-08-12,49.36000061035156
2019-08-13,50.439998626708984
2019-08-14,48.90999984741211
2019-08-15,49.11000061035156
2019-08-16,50.47999954223633
2019-08-19,51.349998474121094
2019-08-20,50.97999954223633
2019-08-21,50.900001525878906
2019-08-22,50.5
2019-08-23,49.720001220703125
2019-08-26,49.47999954223633
2019-08-27,49.09000015258789
2019-08-28,49.56999969482422
2019-08-29,50.22999954223633
2019-08-30,50.75
2019-09-03,50.58000183105469
2019-09-04,51.040000915527344
